conflict_id,company_id,ticker,fiscal_year,canonical_field,winning_accession,winning_filing_date,winning_source_tag,winning_value,discarded_accession,discarded_filing_date,discarded_source_tag,discarded_value,relative_difference,conflict_severity,resolution_rule,resolution_status,review_note,created_at
B1-00011,chwy,CHWY,2021,total_equity,0001766502-25-000014,2025-03-26,StockholdersEquity,-39.62,0001766502-22-000008,2022-03-29,StockholdersEquity,14.736,1.3719333669863705,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00012,chwy,CHWY,2022,cash_and_equivalents,0001766502-24-000014,2024-03-20,CashAndCashEquivalentsAtCarryingValue,331.641,0001766502-23-000011,2023-03-22,CashAndCashEquivalentsAtCarryingValue,330.441,0.0036183704668603864,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00013,chwy,CHWY,2022,current_assets,0001766502-24-000014,2024-03-20,AssetsCurrent,1524.78,0001766502-23-000011,2023-03-22,AssetsCurrent,1520.321,0.002924356300581107,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00014,chwy,CHWY,2022,current_liabilities,0001766502-24-000014,2024-03-20,LiabilitiesCurrent,1827.718,0001766502-23-000011,2023-03-22,LiabilitiesCurrent,1769.349,0.03193545174912111,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00015,chwy,CHWY,2022,inventory,0001766502-24-000014,2024-03-20,InventoryNet,678.005,0001766502-23-000011,2023-03-22,InventoryNet,675.52,0.0036651647111747166,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00016,chwy,CHWY,2022,net_income,0001766502-25-000014,2025-03-26,NetIncomeLoss,49.899,0001766502-24-000014,2024-03-20,NetIncomeLoss,49.899,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00017,chwy,CHWY,2022,net_income,0001766502-25-000014,2025-03-26,NetIncomeLoss,49.899,0001766502-23-000011,2023-03-22,NetIncomeLoss,49.232,0.01336700134271231,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00018,chwy,CHWY,2022,operating_cash_flow,0001766502-25-000014,2025-03-26,NetCashProvidedByUsedInOperatingActivities,349.777,0001766502-24-000014,2024-03-20,NetCashProvidedByUsedInOperatingActivities,349.777,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00019,chwy,CHWY,2022,operating_cash_flow,0001766502-25-000014,2025-03-26,NetCashProvidedByUsedInOperatingActivities,349.777,0001766502-23-000011,2023-03-22,NetCashProvidedByUsedInOperatingActivities,349.572,0.0005860877073106124,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00020,chwy,CHWY,2022,operating_income,0001766502-25-000014,2025-03-26,OperatingIncomeLoss,56.421,0001766502-24-000014,2024-03-20,OperatingIncomeLoss,56.421,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00021,chwy,CHWY,2022,operating_income,0001766502-25-000014,2025-03-26,OperatingIncomeLoss,56.421,0001766502-23-000011,2023-03-22,OperatingIncomeLoss,55.753,0.011839563283174691,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00022,chwy,CHWY,2022,revenue,0001766502-25-000014,2025-03-26,RevenueFromContractWithCustomerExcludingAssessedTax,10119.0,0001766502-24-000014,2024-03-20,RevenueFromContractWithCustomerExcludingAssessedTax,10119.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00023,chwy,CHWY,2022,revenue,0001766502-25-000014,2025-03-26,RevenueFromContractWithCustomerExcludingAssessedTax,10119.0,0001766502-23-000011,2023-03-22,RevenueFromContractWithCustomerExcludingAssessedTax,10098.939,0.001982508152979513,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00024,chwy,CHWY,2022,total_assets,0001766502-24-000014,2024-03-20,Assets,2519.818,0001766502-23-000011,2023-03-22,Assets,2515.076,0.0018818819454421664,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00025,chwy,CHWY,2022,total_equity,0001766502-26-000034,2026-03-25,StockholdersEquity,160.3,0001766502-25-000014,2025-03-26,StockholdersEquity,160.268,0.00019962570180917456,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00026,chwy,CHWY,2022,total_equity,0001766502-26-000034,2026-03-25,StockholdersEquity,160.3,0001766502-24-000014,2024-03-20,StockholdersEquity,160.268,0.00019962570180917456,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00027,chwy,CHWY,2022,total_equity,0001766502-26-000034,2026-03-25,StockholdersEquity,160.3,0001766502-23-000011,2023-03-22,StockholdersEquity,213.957,0.3347286338116031,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00028,chwy,CHWY,2022,total_liabilities,0001766502-24-000014,2024-03-20,Liabilities,2359.55,0001766502-23-000011,2023-03-22,Liabilities,2301.119,0.024763620181814345,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00029,chwy,CHWY,2023,capital_expenditure,0001766502-26-000034,2026-03-25,PaymentsToAcquireProductiveAssets,143.3,0001766502-25-000014,2025-03-26,PaymentsToAcquireProductiveAssets,143.282,0.00012561060711793916,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00030,chwy,CHWY,2023,capital_expenditure,0001766502-26-000034,2026-03-25,PaymentsToAcquireProductiveAssets,143.3,0001766502-24-000014,2024-03-20,PaymentsToAcquireProductiveAssets,143.282,0.00012561060711793916,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00031,chwy,CHWY,2023,net_income,0001766502-26-000034,2026-03-25,NetIncomeLoss,39.6,0001766502-25-000014,2025-03-26,NetIncomeLoss,39.58,0.000505050505050584,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00032,chwy,CHWY,2023,net_income,0001766502-26-000034,2026-03-25,NetIncomeLoss,39.6,0001766502-24-000014,2024-03-20,NetIncomeLoss,39.58,0.000505050505050584,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00033,chwy,CHWY,2023,operating_cash_flow,0001766502-26-000034,2026-03-25,NetCashProvidedByUsedInOperatingActivities,486.2,0001766502-25-000014,2025-03-26,NetCashProvidedByUsedInOperatingActivities,486.211,2.2624434389189843e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00034,chwy,CHWY,2023,operating_cash_flow,0001766502-26-000034,2026-03-25,NetCashProvidedByUsedInOperatingActivities,486.2,0001766502-24-000014,2024-03-20,NetCashProvidedByUsedInOperatingActivities,486.211,2.2624434389189843e-05,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00035,chwy,CHWY,2023,operating_income,0001766502-26-000034,2026-03-25,OperatingIncomeLoss,-23.6,0001766502-25-000014,2025-03-26,OperatingIncomeLoss,-23.625,0.0010593220338982448,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00036,chwy,CHWY,2023,operating_income,0001766502-26-000034,2026-03-25,OperatingIncomeLoss,-23.6,0001766502-24-000014,2024-03-20,OperatingIncomeLoss,-23.625,0.0010593220338982448,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00037,chwy,CHWY,2023,revenue,0001766502-26-000034,2026-03-25,RevenueFromContractWithCustomerExcludingAssessedTax,11147.7,0001766502-25-000014,2025-03-26,RevenueFromContractWithCustomerExcludingAssessedTax,11147.72,1.7940920547393243e-06,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00038,chwy,CHWY,2023,revenue,0001766502-26-000034,2026-03-25,RevenueFromContractWithCustomerExcludingAssessedTax,11147.7,0001766502-24-000014,2024-03-20,RevenueFromContractWithCustomerExcludingAssessedTax,11147.72,1.7940920547393243e-06,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00039,chwy,CHWY,2023,total_equity,0001766502-26-000034,2026-03-25,StockholdersEquity,510.3,0001766502-25-000014,2025-03-26,StockholdersEquity,510.244,0.00010973936899859528,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00040,chwy,CHWY,2023,total_equity,0001766502-26-000034,2026-03-25,StockholdersEquity,510.3,0001766502-24-000014,2024-03-20,StockholdersEquity,510.244,0.00010973936899859528,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00041,dash,DASH,2021,capital_expenditure,0001628280-24-005600,2024-02-20,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,237.0,0001628280-24-005600,2024-02-20,PaymentsToAcquirePropertyPlantAndEquipment,129.0,0.45569620253164556,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00042,dash,DASH,2021,capital_expenditure,0001628280-24-005600,2024-02-20,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,237.0,0001628280-23-005131,2023-02-27,PaymentsToAcquirePropertyPlantAndEquipment,129.0,0.45569620253164556,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00043,dash,DASH,2021,capital_expenditure,0001628280-24-005600,2024-02-20,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,237.0,0001628280-22-004350,2022-03-01,PaymentsToAcquirePropertyPlantAndEquipment,129.0,0.45569620253164556,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00044,dash,DASH,2022,capital_expenditure,0001628280-25-005715,2025-02-14,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,346.0,0001628280-25-005715,2025-02-14,PaymentsToAcquirePropertyPlantAndEquipment,176.0,0.4913294797687861,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00045,dash,DASH,2022,capital_expenditure,0001628280-25-005715,2025-02-14,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,346.0,0001628280-24-005600,2024-02-20,PaymentsToAcquirePropertyPlantAndEquipment,176.0,0.4913294797687861,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00046,dash,DASH,2022,capital_expenditure,0001628280-25-005715,2025-02-14,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,346.0,0001628280-23-005131,2023-02-27,PaymentsToAcquirePropertyPlantAndEquipment,176.0,0.4913294797687861,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00047,dash,DASH,2022,net_income,0001628280-25-005715,2025-02-14,NetIncomeLoss,-1365.0,0001628280-25-005715,2025-02-14,ProfitLoss,-1368.0,0.002197802197802198,low,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00048,dash,DASH,2022,net_income,0001628280-25-005715,2025-02-14,NetIncomeLoss,-1365.0,0001628280-24-005600,2024-02-20,NetIncomeLoss,-1365.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00049,dash,DASH,2022,net_income,0001628280-25-005715,2025-02-14,NetIncomeLoss,-1365.0,0001628280-24-005600,2024-02-20,ProfitLoss,-1368.0,0.002197802197802198,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00050,dash,DASH,2022,net_income,0001628280-25-005715,2025-02-14,NetIncomeLoss,-1365.0,0001628280-23-005131,2023-02-27,NetIncomeLoss,-1365.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00051,dash,DASH,2022,net_income,0001628280-25-005715,2025-02-14,NetIncomeLoss,-1365.0,0001628280-23-005131,2023-02-27,ProfitLoss,-1368.0,0.002197802197802198,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00052,dash,DASH,2023,capital_expenditure,0001792789-26-000035,2026-05-06,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,324.0,0001792789-26-000035,2026-05-06,PaymentsToAcquirePropertyPlantAndEquipment,123.0,0.6203703703703703,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00053,dash,DASH,2023,capital_expenditure,0001792789-26-000035,2026-05-06,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,324.0,0001792789-26-000013,2026-02-18,PaymentsToAcquirePropertyPlantAndEquipment,123.0,0.6203703703703703,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00054,dash,DASH,2023,capital_expenditure,0001792789-26-000035,2026-05-06,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,324.0,0001628280-25-005715,2025-02-14,PaymentsToAcquirePropertyPlantAndEquipment,123.0,0.6203703703703703,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00055,dash,DASH,2023,capital_expenditure,0001792789-26-000035,2026-05-06,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,324.0,0001628280-24-005600,2024-02-20,PaymentsToAcquirePropertyPlantAndEquipment,123.0,0.6203703703703703,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00056,dash,DASH,2023,net_income,0001792789-26-000035,2026-05-06,NetIncomeLoss,-558.0,0001792789-26-000035,2026-05-06,ProfitLoss,-565.0,0.012544802867383513,medium,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00057,dash,DASH,2023,net_income,0001792789-26-000035,2026-05-06,NetIncomeLoss,-558.0,0001792789-26-000013,2026-02-18,NetIncomeLoss,-558.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00058,dash,DASH,2023,net_income,0001792789-26-000035,2026-05-06,NetIncomeLoss,-558.0,0001792789-26-000013,2026-02-18,ProfitLoss,-565.0,0.012544802867383513,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00059,dash,DASH,2023,net_income,0001792789-26-000035,2026-05-06,NetIncomeLoss,-558.0,0001628280-25-005715,2025-02-14,NetIncomeLoss,-558.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00060,dash,DASH,2023,net_income,0001792789-26-000035,2026-05-06,NetIncomeLoss,-558.0,0001628280-25-005715,2025-02-14,ProfitLoss,-565.0,0.012544802867383513,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00061,dash,DASH,2023,net_income,0001792789-26-000035,2026-05-06,NetIncomeLoss,-558.0,0001628280-24-005600,2024-02-20,NetIncomeLoss,-558.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00062,dash,DASH,2023,net_income,0001792789-26-000035,2026-05-06,NetIncomeLoss,-558.0,0001628280-24-005600,2024-02-20,ProfitLoss,-565.0,0.012544802867383513,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00063,ebay,EBAY,2022,total_debt,0001065088-24-000036,2024-02-28,DebtLongtermAndShorttermCombinedAmount,8871.0,0001065088-24-000036,2024-02-28,LongTermDebtAndCapitalLeaseObligations,7721.0,0.12963589223311917,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00064,ebay,EBAY,2022,total_debt,0001065088-24-000036,2024-02-28,DebtLongtermAndShorttermCombinedAmount,8871.0,0001065088-23-000006,2023-02-23,DebtLongtermAndShorttermCombinedAmount,8871.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00065,ebay,EBAY,2023,total_debt,0001065088-25-000037,2025-02-27,DebtAndCapitalLeaseObligations,7723.0,0001065088-25-000037,2025-02-27,LongTermDebtAndCapitalLeaseObligations,6973.0,0.09711252104104623,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00066,ebay,EBAY,2023,total_debt,0001065088-25-000037,2025-02-27,DebtAndCapitalLeaseObligations,7723.0,0001065088-24-000036,2024-02-28,DebtLongtermAndShorttermCombinedAmount,7723.0,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00067,ebay,EBAY,2023,total_debt,0001065088-25-000037,2025-02-27,DebtAndCapitalLeaseObligations,7723.0,0001065088-24-000036,2024-02-28,LongTermDebtAndCapitalLeaseObligations,6973.0,0.09711252104104623,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00068,etsy,ETSY,2021,capital_expenditure,0001370637-24-000013,2024-02-22,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,28.17,0001370637-24-000013,2024-02-22,PaymentsToAcquirePropertyPlantAndEquipment,11.248,0.6007099751508699,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00069,etsy,ETSY,2021,capital_expenditure,0001370637-24-000013,2024-02-22,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,28.17,0001370637-23-000017,2023-02-23,PaymentsToAcquirePropertyPlantAndEquipment,11.248,0.6007099751508699,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00070,etsy,ETSY,2021,capital_expenditure,0001370637-24-000013,2024-02-22,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,28.17,0001370637-22-000024,2022-02-25,PaymentsToAcquirePropertyPlantAndEquipment,11.248,0.6007099751508699,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00071,etsy,ETSY,2022,capital_expenditure,0001370637-25-000017,2025-02-19,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,30.743,0001370637-25-000017,2025-02-19,PaymentsToAcquirePropertyPlantAndEquipment,10.237,0.6670136291188238,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00072,etsy,ETSY,2022,capital_expenditure,0001370637-25-000017,2025-02-19,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,30.743,0001370637-24-000013,2024-02-22,PaymentsToAcquirePropertyPlantAndEquipment,10.237,0.6670136291188238,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00073,etsy,ETSY,2022,capital_expenditure,0001370637-25-000017,2025-02-19,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,30.743,0001370637-23-000017,2023-02-23,PaymentsToAcquirePropertyPlantAndEquipment,10.237,0.6670136291188238,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00074,etsy,ETSY,2023,capital_expenditure,0001370637-26-000019,2026-02-19,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,39.908,0001370637-26-000019,2026-02-19,PaymentsToAcquirePropertyPlantAndEquipment,12.95,0.675503658414353,high,latest valid filing then configured source-tag priority,resolved_tag_priority,Configured canonical tag priority selects the concept-aligned value,2026-08-05T00:00:00+00:00
B1-00075,etsy,ETSY,2023,capital_expenditure,0001370637-26-000019,2026-02-19,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,39.908,0001370637-25-000017,2025-02-19,PaymentsToAcquirePropertyPlantAndEquipment,12.938,0.6758043500050115,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00076,etsy,ETSY,2023,capital_expenditure,0001370637-26-000019,2026-02-19,override:PaymentsToAcquirePropertyPlantAndEquipment+PaymentsToDevelopSoftware,39.908,0001370637-24-000013,2024-02-22,PaymentsToAcquirePropertyPlantAndEquipment,12.938,0.6758043500050115,high,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
