company_id,period_end,canonical_field,winning_tag,discarded_tag,winning_value,discarded_value,relative_difference,resolution_rule,conflict_severity,winning_accession,discarded_accession,winning_filing_date,discarded_filing_date
chwy,2023-01-29,total_equity,StockholdersEquity,StockholdersEquity,160.3,160.268,0.00019962570180917456,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-24-000014,2026-03-25,2024-03-20
chwy,2023-01-29,total_equity,StockholdersEquity,StockholdersEquity,160.3,213.957,0.3347286338116031,latest valid filing then configured source-tag priority,high,0001766502-26-000034,0001766502-23-000011,2026-03-25,2023-03-22
chwy,2024-01-28,capital_expenditure,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,143.3,143.282,0.00012561060711793916,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-25-000014,2026-03-25,2025-03-26
chwy,2024-01-28,capital_expenditure,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,143.3,143.282,0.00012561060711793916,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-24-000014,2026-03-25,2024-03-20
chwy,2024-01-28,net_income,NetIncomeLoss,NetIncomeLoss,39.6,39.58,0.000505050505050584,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-25-000014,2026-03-25,2025-03-26
chwy,2024-01-28,net_income,NetIncomeLoss,NetIncomeLoss,39.6,39.58,0.000505050505050584,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-24-000014,2026-03-25,2024-03-20
chwy,2024-01-28,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,486.2,486.211,2.2624434389189843e-05,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-25-000014,2026-03-25,2025-03-26
chwy,2024-01-28,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,486.2,486.211,2.2624434389189843e-05,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-24-000014,2026-03-25,2024-03-20
chwy,2024-01-28,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,11147.7,11147.72,1.7940920547393243e-06,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-25-000014,2026-03-25,2025-03-26
chwy,2024-01-28,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,11147.7,11147.72,1.7940920547393243e-06,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-24-000014,2026-03-25,2024-03-20
chwy,2024-01-28,total_equity,StockholdersEquity,StockholdersEquity,510.3,510.244,0.00010973936899859528,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-25-000014,2026-03-25,2025-03-26
chwy,2024-01-28,total_equity,StockholdersEquity,StockholdersEquity,510.3,510.244,0.00010973936899859528,latest valid filing then configured source-tag priority,low,0001766502-26-000034,0001766502-24-000014,2026-03-25,2024-03-20
ebay,2022-12-31,total_debt,DebtLongtermAndShorttermCombinedAmount,LongTermDebtAndCapitalLeaseObligations,8871.0,7721.0,0.12963589223311917,latest valid filing then configured source-tag priority,high,0001065088-24-000036,0001065088-24-000036,2024-02-28,2024-02-28
ebay,2022-12-31,total_debt,DebtLongtermAndShorttermCombinedAmount,DebtLongtermAndShorttermCombinedAmount,8871.0,8871.0,0.0,latest valid filing then configured source-tag priority,low,0001065088-24-000036,0001065088-23-000006,2024-02-28,2023-02-23
ebay,2023-12-31,total_debt,DebtAndCapitalLeaseObligations,LongTermDebtAndCapitalLeaseObligations,7723.0,6973.0,0.09711252104104623,latest valid filing then configured source-tag priority,high,0001065088-25-000037,0001065088-25-000037,2025-02-27,2025-02-27
ebay,2023-12-31,total_debt,DebtAndCapitalLeaseObligations,DebtLongtermAndShorttermCombinedAmount,7723.0,7723.0,0.0,latest valid filing then configured source-tag priority,low,0001065088-25-000037,0001065088-24-000036,2025-02-27,2024-02-28
ebay,2023-12-31,total_debt,DebtAndCapitalLeaseObligations,LongTermDebtAndCapitalLeaseObligations,7723.0,6973.0,0.09711252104104623,latest valid filing then configured source-tag priority,high,0001065088-25-000037,0001065088-24-000036,2025-02-27,2024-02-28
